"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Oieos-Umiutum"",""Sleetwater Basin""],""expires"":""2021-03-10T17:22:30.832Z""}","2021-03-10 07:53:30.849175+00"
"public.portaler.zone","add","{""conns"":[""Oakcopse"",""Oieos-Umiutum""],""expires"":""2021-03-10T14:50:23.996Z""}","2021-03-10 07:53:24.00754+00"
"public.portaler.zone","add","{""conns"":[""Oieos-Umiutum"",""Tynos-Igurlum""],""expires"":""2021-03-11T07:25:18.597Z""}","2021-03-10 07:53:18.607561+00"
"public.portaler.zone","add","{""conns"":[""Secent-Al-Viesum"",""Siritos-Avoirom""],""expires"":""2021-03-10T12:41:27.373Z""}","2021-03-10 07:52:27.410031+00"
"public.portaler.zone","add","{""conns"":[""Oieos-Umiutum"",""Siritos-Avoirom""],""expires"":""2021-03-11T02:47:13.511Z""}","2021-03-10 07:52:13.527141+00"
"public.portaler.zone","add","{""conns"":[""Haytor"",""Siritos-Avoirom""],""expires"":""2021-03-10T10:07:05.056Z""}","2021-03-10 07:52:05.069005+00"
"public.portaler.zone","add","{""conns"":[""Kindlegrass Steppe"",""Siritos-Avoirom""],""expires"":""2021-03-10T12:13:58.600Z""}","2021-03-10 07:51:58.619213+00"
"public.portaler.zone","add","{""conns"":[""Kindlegrass Steppe"",""Touos-Uoemtum""],""expires"":""2021-03-10T18:27:02.442Z""}","2021-03-10 07:51:02.45484+00"
"public.portaler.zone","add","{""conns"":[""Nightcreak Marsh"",""Sebos-Avoirom""],""expires"":""2021-03-11T04:44:46.219Z""}","2021-03-10 07:49:46.223923+00"
"public.portaler.zone","add","{""conns"":[""Sebos-Avoirom"",""Secent-Sa-Odesis""],""expires"":""2021-03-10T15:58:36.299Z""}","2021-03-10 07:49:36.307769+00"
"public.portaler.zone","update","{""to"":{""id"":93457,""size"":2,""conn1"":""Longtimber Glen"",""conn2"":""Souos-Ososlos"",""expires"":""2021-03-10T15:43:29.983+00:00"",""server_id"":3,""created_by"":1625,""created_on"":""2021-03-09T16:44:45.983129+00:00""}}","2021-03-10 07:47:29.997567+00"
"public.portaler.zone","add","{""conns"":[""Casos-Ayosrom"",""Oynitos-Uromlum""],""expires"":""2021-03-10T15:05:49.109Z""}","2021-03-10 07:45:49.116724+00"
"public.portaler.zone","add","{""conns"":[""Casos-Ayosrom"",""Longtimber Glen""],""expires"":""2021-03-10T17:29:42.134Z""}","2021-03-10 07:45:42.267105+00"
"public.portaler.zone","add","{""conns"":[""Casos-Ayosrom"",""Hynitos-Oyezam""],""expires"":""2021-03-10T21:51:34.847Z""}","2021-03-10 07:45:34.870057+00"
"public.portaler.zone","add","{""conns"":[""Birken Fell"",""Casos-Ayosrom""],""expires"":""2021-03-10T23:06:02.588Z""}","2021-03-10 07:45:02.593156+00"
"public.portaler.zone","add","{""conns"":[""Birken Fell"",""Xetitos-Emimsum""],""expires"":""2021-03-10T18:58:39.675Z""}","2021-03-10 07:44:39.685862+00"
"public.portaler.zone","add","{""conns"":[""Whitebank Descent"",""Xoritos-Exostum""],""expires"":""2021-03-10T18:39:28.994Z""}","2021-03-10 07:43:29.005151+00"
"public.portaler.zone","add","{""conns"":[""Sebos-Ugersum"",""Xoritos-Exostum""],""expires"":""2021-03-10T21:45:22.531Z""}","2021-03-10 07:43:22.559919+00"
"public.portaler.zone","add","{""conns"":[""Mardale"",""Xoritos-Exostum""],""expires"":""2021-03-10T14:19:15.186Z""}","2021-03-10 07:43:15.197344+00"
"public.portaler.zone","add","{""conns"":[""Fieites-Unavtum"",""Heritos-Exozlos""],""expires"":""2021-03-10T17:04:12.736Z""}","2021-03-10 07:42:12.766413+00"
"public.portaler.zone","add","{""conns"":[""Fieites-Unavtum"",""Hieos-Aiigaum""],""expires"":""2021-03-10T15:49:04.563Z""}","2021-03-10 07:42:04.575185+00"
"public.portaler.zone","add","{""conns"":[""Drownfield Slough"",""Fieites-Unavtum""],""expires"":""2021-03-10T16:11:57.785Z""}","2021-03-10 07:41:57.829839+00"
"public.portaler.zone","add","{""conns"":[""Fieites-Unavtum"",""Mardale""],""expires"":""2021-03-10T19:15:48.263Z""}","2021-03-10 07:41:48.275776+00"
"public.portaler.zone","add","{""conns"":[""Mardale"",""Oiritos-Eramtum""],""expires"":""2021-03-10T09:05:49.370Z""}","2021-03-10 07:40:49.386367+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Tetos-Igaelum""],""expires"":""2021-03-10T13:03:23.259Z""}","2021-03-10 07:40:23.270528+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Setent-Duosas""],""expires"":""2021-03-10T15:22:16.227Z""}","2021-03-10 07:40:16.237473+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Yew Wood""],""expires"":""2021-03-10T17:10:09.621Z""}","2021-03-10 07:40:09.721302+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Quaent-Al-Nusis""],""expires"":""2021-03-10T10:24:03.792Z""}","2021-03-10 07:40:03.804745+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Secent-Al-Viesum""],""expires"":""2021-03-10T16:52:56.565Z""}","2021-03-10 07:39:56.579952+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Uruxtum"",""Mardale""],""expires"":""2021-03-10T12:55:34.101Z""}","2021-03-10 07:39:34.115753+00"
"public.portaler.zone","add","{""conns"":[""Runnel Sink"",""Tonos-Obayam""],""expires"":""2021-03-10T10:54:16.390Z""}","2021-03-10 07:38:16.408473+00"
"public.portaler.zone","add","{""conns"":[""Conitos-Ofailos"",""Ouyos-Aoeuam""],""expires"":""2021-03-10T13:58:28.913Z""}","2021-03-10 07:37:28.927181+00"
"public.portaler.zone","add","{""conns"":[""Ouyos-Aoeuam"",""Secent-Qi-Odesom""],""expires"":""2021-03-10T16:20:22.118Z""}","2021-03-10 07:37:22.127564+00"
"public.portaler.zone","add","{""conns"":[""Cedarcopse"",""Ouyos-Aoeuam""],""expires"":""2021-03-10T19:03:11.907Z""}","2021-03-10 07:37:11.926116+00"
"public.portaler.zone","add","{""conns"":[""Ouyos-Aoeuam"",""Runnel Sink""],""expires"":""2021-03-10T12:53:05.434Z""}","2021-03-10 07:37:05.452948+00"
"public.portaler.zone","add","{""conns"":[""Ouyos-Aoeuam"",""Willow Wood""],""expires"":""2021-03-10T18:59:59.434Z""}","2021-03-10 07:36:59.444973+00"
"public.portaler.zone","delete","{""id"":94277,""size"":2,""conn1"":""Ouyos-Aoeuam"",""conn2"":""Runnel Sink"",""expires"":""2021-03-10T12:43:39.098+00:00"",""server_id"":3,""created_by"":1625,""created_on"":""2021-03-10T07:36:39.09971+00:00""}","2021-03-10 07:36:50.628596+00"
"public.portaler.zone","add","{""conns"":[""Ouyos-Aoeuam"",""Runnel Sink""],""expires"":""2021-03-10T12:43:39.098Z""}","2021-03-10 07:36:39.112451+00"
"public.portaler.zone","add","{""conns"":[""Mardale"",""Runnel Sink""],""expires"":""2021-04-21T15:10:53.654Z""}","2021-03-10 07:31:53.66498+00"
"public.portaler.zone","add","{""conns"":[""Runnel Sink"",""Stumprot Swamp""],""expires"":""2021-04-21T15:10:50.400Z""}","2021-03-10 07:31:50.41515+00"
"public.portaler.zone","add","{""conns"":[""Birken Fell"",""Mardale""],""expires"":""2021-04-21T15:10:42.443Z""}","2021-03-10 07:31:42.457384+00"
"public.portaler.zone","add","{""conns"":[""Birken Fell"",""Stumprot Swamp""],""expires"":""2021-04-21T15:10:37.854Z""}","2021-03-10 07:31:37.890337+00"
"public.portaler.zone","add","{""conns"":[""Casos-Aximam"",""Stumprot Swamp""],""expires"":""2021-03-10T21:47:23.009Z""}","2021-03-10 07:31:23.024721+00"
"public.portaler.zone","add","{""conns"":[""Casos-Aximam"",""Quaent-Al-Vynsum""],""expires"":""2021-03-10T18:10:14.751Z""}","2021-03-10 07:31:14.766542+00"
"public.portaler.zone","add","{""conns"":[""Casos-Aximam"",""Everwinter Passage""],""expires"":""2021-03-10T21:12:58.400Z""}","2021-03-10 07:30:58.417007+00"
"public.portaler.zone","add","{""conns"":[""Casos-Aximam"",""Filos-Abalam""],""expires"":""2021-03-10T19:30:50.573Z""}","2021-03-10 07:30:50.592433+00"
"public.portaler.zone","add","{""conns"":[""Sebos-Avoirom"",""Silos-Apenlum""],""expires"":""2021-03-10T22:05:49.516Z""}","2021-03-10 07:28:49.530062+00"
"public.portaler.zone","add","{""conns"":[""Sectun-In-Qinsom"",""Silos-Apenlum""],""expires"":""2021-03-10T17:40:41.609Z""}","2021-03-10 07:28:41.621891+00"
"public.portaler.zone","add","{""conns"":[""Silos-Apenlum"",""Tieitos-Ouultum""],""expires"":""2021-03-11T02:30:03.776Z""}","2021-03-10 07:28:03.789921+00"
"public.portaler.zone","add","{""conns"":[""Casos-Aximam"",""Tieitos-Ouultum""],""expires"":""2021-03-10T20:00:57.587Z""}","2021-03-10 07:27:57.59842+00"
"public.portaler.zone","add","{""conns"":[""Sandrift Steppe"",""Tieitos-Ouultum""],""expires"":""2021-03-10T16:13:50.928Z""}","2021-03-10 07:27:50.948902+00"
"public.portaler.zone","update","{""to"":{""id"":93249,""size"":7,""conn1"":""Sandrift Portal East"",""conn2"":""Tieitos-Ouultum"",""expires"":""2021-03-10T11:44:40.517+00:00"",""server_id"":3,""created_by"":1625,""created_on"":""2021-03-09T14:24:03.267286+00:00""}}","2021-03-10 07:27:40.533434+00"
"public.portaler.zone","add","{""conns"":[""Hightree Isle"",""Tynos-Igurlum""],""expires"":""2021-03-10T08:36:39.023Z""}","2021-03-10 07:26:39.043273+00"
"public.portaler.zone","add","{""conns"":[""Qiient-Sa-Odetis"",""Tynos-Igurlum""],""expires"":""2021-03-11T01:34:32.583Z""}","2021-03-10 07:26:32.743399+00"
"public.portaler.zone","add","{""conns"":[""Hynitos-Oyezam"",""Tynos-Igurlum""],""expires"":""2021-03-10T17:36:22.052Z""}","2021-03-10 07:26:22.068869+00"
"public.portaler.zone","add","{""conns"":[""Everwinter Crossing"",""Tynos-Igurlum""],""expires"":""2021-03-10T21:01:14.753Z""}","2021-03-10 07:26:14.760578+00"
"public.portaler.zone","add","{""conns"":[""Sandrift Fringe"",""Xebos-Emimsum""],""expires"":""2021-03-10T22:40:31.719Z""}","2021-03-10 07:22:31.73608+00"
"public.portaler.zone","add","{""conns"":[""Frostspring Vulcano"",""Xebos-Emimsum""],""expires"":""2021-03-10T17:57:24.601Z""}","2021-03-10 07:22:24.619426+00"
"public.portaler.zone","add","{""conns"":[""Puros-Amayam"",""Qiient-In-Tersom""],""expires"":""2021-03-10T15:53:20.031Z""}","2021-03-10 07:20:20.040753+00"
"public.portaler.zone","add","{""conns"":[""Puros-Amayam"",""Tasitos-Ulaurom""],""expires"":""2021-03-10T19:00:12.633Z""}","2021-03-10 07:20:12.640698+00"
"public.portaler.zone","add","{""conns"":[""Cieitos-Avioaum"",""Puros-Amayam""],""expires"":""2021-03-11T00:36:03.850Z""}","2021-03-10 07:20:03.866126+00"
"public.portaler.zone","add","{""conns"":[""Bonepool Marsh"",""Puros-Amayam""],""expires"":""2021-03-10T11:48:55.373Z""}","2021-03-10 07:19:55.383277+00"
"public.portaler.zone","add","{""conns"":[""Lewsdon Hill"",""Puros-Amayam""],""expires"":""2021-03-10T09:10:48.129Z""}","2021-03-10 07:19:48.141874+00"
"public.portaler.zone","add","{""conns"":[""Foues-Aeaosum"",""Tasitos-Ulaurom""],""expires"":""2021-03-10T10:02:10.482Z""}","2021-03-10 07:18:10.49539+00"
"public.portaler.zone","add","{""conns"":[""Lewsdon Hill"",""Oynites-Araosum""],""expires"":""2021-03-10T15:10:21.588Z""}","2021-03-10 07:16:21.59954+00"
"public.portaler.zone","add","{""conns"":[""Dewleaf Fen"",""Oynites-Araosum""],""expires"":""2021-03-10T19:16:13.048Z""}","2021-03-10 07:16:13.058516+00"
