"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Tetos-Ulaurom"",""Yew Wood""],""expires"":""2021-01-16T20:42:09.469Z""}","2021-01-16 10:54:09.480764+00"
"public.portaler.zone","delete","{""id"":31887,""size"":7,""conn1"":""Lymhurst"",""conn2"":""Tetos-Ulaurom"",""expires"":""2021-01-16T20:41:14.989+00:00"",""server_id"":4,""created_by"":2597,""created_on"":""2021-01-16T10:53:14.992263+00:00""}","2021-01-16 10:53:34.540276+00"
"public.portaler.zone","add","{""conns"":[""Lymhurst"",""Tetos-Ulaurom""],""expires"":""2021-01-16T20:41:14.989Z""}","2021-01-16 10:53:15.007793+00"
"public.portaler.zone","add","{""conns"":[""Settun-In-Odetum"",""Tieos-Ayoslum""],""expires"":""2021-01-16T12:30:28.898Z""}","2021-01-16 09:15:28.910038+00"
"public.portaler.zone","add","{""conns"":[""Sasos-Abizaum"",""Tieos-Ayoslum""],""expires"":""2021-01-17T02:12:01.449Z""}","2021-01-16 09:15:01.461341+00"
"public.portaler.zone","add","{""conns"":[""Sunfang Cliffs"",""Tasitos-Obayam""],""expires"":""2021-01-16T10:04:40.168Z""}","2021-01-16 09:12:40.183348+00"
"public.portaler.zone","add","{""conns"":[""Tasitos-Obayam"",""Tieos-Ayoslum""],""expires"":""2021-01-16T14:35:17.907Z""}","2021-01-16 09:12:17.917514+00"
"public.portaler.zone","add","{""conns"":[""Tasitos-Obayam"",""Willowshade Lake""],""expires"":""2021-01-16T11:23:56.571Z""}","2021-01-16 09:06:56.588291+00"
"public.portaler.zone","add","{""conns"":[""Oouitos-Alaiam"",""Secent-Nutum""],""expires"":""2021-01-17T01:30:25.988Z""}","2021-01-16 08:43:26.002201+00"
"public.portaler.zone","add","{""conns"":[""Puyitos-Aiataum"",""Rivercopse Fount""],""expires"":""2021-01-16T20:39:25.753Z""}","2021-01-16 08:42:25.78743+00"
"public.portaler.zone","add","{""conns"":[""Creag Morr"",""Puyitos-Aiataum""],""expires"":""2021-01-16T19:57:46.515Z""}","2021-01-16 08:41:46.522472+00"
"public.portaler.zone","add","{""conns"":[""Fonos-Oleraum"",""Murdergulch Gap""],""expires"":""2021-01-16T15:19:53.022Z""}","2021-01-16 08:34:53.03851+00"
"public.portaler.zone","add","{""conns"":[""Darkbough Snag"",""Fonos-Oleraum""],""expires"":""2021-01-16T15:29:23.959Z""}","2021-01-16 08:32:23.969564+00"
"public.portaler.zone","add","{""conns"":[""Darkbough Snag"",""Puyitos-Aiataum""],""expires"":""2021-01-16T13:59:59.543Z""}","2021-01-16 08:29:59.557639+00"
"public.portaler.zone","add","{""conns"":[""Caerleon"",""Creag Morr""],""expires"":""2021-02-27T15:47:33.694Z""}","2021-01-16 08:08:33.731464+00"
"public.portaler.zone","add","{""conns"":[""Pures-Ouozlum"",""Shiftshadow Expanse""],""expires"":""2021-01-16T17:30:56.221Z""}","2021-01-16 05:07:56.230958+00"
"public.portaler.zone","add","{""conns"":[""Cieitos-Otatrom"",""Westweald Thicket""],""expires"":""2021-01-16T11:52:04.960Z""}","2021-01-16 03:58:04.972279+00"
"public.portaler.zone","add","{""conns"":[""Pures-Ouozlum"",""Tilitos-Ataglos""],""expires"":""2021-01-16T13:43:16.665Z""}","2021-01-16 03:19:16.677422+00"
"public.portaler.zone","add","{""conns"":[""Hightree Strand"",""Pebos-Avosrom""],""expires"":""2021-01-16T05:12:27.610Z""}","2021-01-16 01:45:27.624826+00"
